series,time,value
Z,4:46:39,8224
Z,4:46:39,10744
Z,4:46:39,14560
Z,4:46:39,18412
Z,4:46:39,20643
Z,4:46:39,21492
Z,4:46:39,22073
Z,4:46:39,22228
Z,4:46:39,21928
Z,4:46:39,21463
Z,4:46:39,21235
Z,4:46:39,21375
Z,4:46:39,21593
Z,4:46:39,21418
Z,4:46:39,21254
Z,4:46:39,21492
Z,4:46:39,21443
Z,4:46:39,20801
Z,4:46:39,19585
Z,4:46:39,18218
Z,4:46:39,16679
Z,4:46:39,14898
Z,4:46:39,13568
Z,4:46:39,12764
Z,4:46:39,12398
Z,4:46:39,12708
Z,4:46:39,12896
Z,4:46:39,13041
Z,4:46:39,13609
Z,4:46:39,13810
Z,4:46:39,13291
Z,4:46:39,13331
Z,4:46:39,14755
Z,4:46:39,16108
Z,4:46:39,16403
Z,4:46:39,16107
Z,4:46:39,15872
Z,4:46:39,16220
Z,4:46:39,17331
Z,4:46:39,18422
Z,4:46:39,18608
Z,4:46:39,18735
Z,4:46:39,18229
Z,4:46:39,16465
Z,4:46:39,15663
Z,4:46:39,14705
Z,4:46:39,15245
Z,4:46:39,19576
Z,4:46:39,23322
Z,4:46:39,24116
Z,4:46:39,25113
Z,4:46:40,27741
Z,4:46:40,27905
Z,4:46:40,24626
Z,4:46:40,20166
Z,4:46:40,16152
Z,4:46:40,13740
Z,4:46:40,11956
Z,4:46:40,9704
Z,4:46:40,7800
Z,4:46:40,7598
Z,4:46:40,9422
Z,4:46:40,12207
Z,4:46:40,14128
Z,4:46:40,14780
Z,4:46:40,15285
Z,4:46:40,16549
Z,4:46:40,18778
Z,4:46:40,21565
Z,4:46:40,23817
Z,4:46:40,24708
Z,4:46:40,24728
Z,4:46:40,24134
Z,4:46:40,23156
Z,4:46:40,22353
Z,4:46:40,21530
Z,4:46:40,20722
Z,4:46:40,19907
Z,4:46:40,18880
Z,4:46:40,17678
Z,4:46:40,16882
Z,4:46:40,16076
Z,4:46:40,14341
Z,4:46:40,13441
Z,4:46:40,13554
Z,4:46:40,12478
Z,4:46:40,11061
Z,4:46:40,11042
Z,4:46:40,11755
Z,4:46:40,11925
Z,4:46:40,11857
Z,4:46:40,12526
Z,4:46:40,13620
Z,4:46:40,14832
Z,4:46:40,15427
Z,4:46:40,14938
Z,4:46:40,13903
Z,4:46:40,13412
Z,4:46:40,14673
Z,4:46:40,17180
Z,4:46:40,20062
Z,4:46:40,22146
Z,4:46:40,23426
Z,4:46:40,23788
Z,4:46:40,23014
Z,4:46:40,22318
Z,4:46:40,21285
Z,4:46:40,20182
Z,4:46:40,19424
Z,4:46:40,18619
Z,4:46:40,18016
Z,4:46:40,17754
Z,4:46:40,17544
Z,4:46:40,17180
Z,4:46:40,16804
Z,4:46:40,16298
Z,4:46:40,15709
Z,4:46:40,14754
Z,4:46:40,13744
Z,4:46:40,13214
Z,4:46:40,12786
Z,4:46:40,12518
Z,4:46:40,12750
Z,4:46:40,13349
Z,4:46:40,14284
Z,4:46:40,15185
Z,4:46:40,15744
Z,4:46:40,16232
Z,4:46:40,16642
Z,4:46:40,17187
Z,4:46:40,17671
Z,4:46:40,18061
Z,4:46:40,18659
Z,4:46:40,19047
Z,4:46:40,18494
Z,4:46:40,16909
Z,4:46:40,15284
Z,4:46:40,14814
Z,4:46:40,16012
Z,4:46:40,17360
Z,4:46:40,17411
Z,4:46:40,16867
Z,4:46:40,15643
Z,4:46:40,14536
Z,4:46:40,13592
Z,4:46:40,11958
Z,4:46:40,12908
Z,4:46:40,17224
Z,4:46:40,19737
Z,4:46:40,18770
Z,4:46:40,19102
Z,4:46:41,21079
Z,4:46:41,20821
Z,4:46:41,18735
Z,4:46:41,16540
Z,4:46:41,15128
Z,4:46:41,14177
Z,4:46:41,12530
Z,4:46:41,11014
Z,4:46:41,10467
Z,4:46:41,11335
Z,4:46:41,13713
Z,4:46:41,16703
Z,4:46:41,19457
Z,4:46:41,21224
Z,4:46:41,22203
Z,4:46:41,23621
Z,4:46:41,25894
Z,4:46:41,27879
Z,4:46:41,28888
Z,4:46:41,28657
Z,4:46:41,27435
Z,4:46:41,25816
Z,4:46:41,23914
Z,4:46:41,22112
Z,4:46:41,20435
Z,4:46:41,18638
Z,4:46:41,16989
Z,4:46:41,15448
Z,4:46:41,13695
Z,4:46:41,11699
Z,4:46:41,9512
Z,4:46:41,7902
Z,4:46:41,7111
Z,4:46:41,5813
Z,4:46:41,4169
Z,4:46:41,4438
Z,4:46:41,6239
Z,4:46:41,7541
Z,4:46:41,8163
Z,4:46:41,9352
Z,4:46:41,11527
Z,4:46:41,13378
Z,4:46:41,14791
Z,4:46:41,15771
Z,4:46:41,16149
Z,4:46:41,16629
Z,4:46:41,17355
Z,4:46:41,19198
Z,4:46:41,21885
Z,4:46:41,24232
Z,4:46:41,25876
